x,y
11,37
45,34
43,10
41,13
32,47
31,42
37,23
22,39
21,11
36,33
42,29
36,33
28,13
22,37
11,42
40,16
24,40
15,18
29,47
12,13
25,35
21,19
17,46
19,16
29,27
39,48
39,30
24,45
20,35
25,21
31,19
23,32
12,17
16,38
12,26
32,35
35,43
50,36
42,42
38,29
34,36
22,15
22,29
39,19
37,32
26,23
45,14
42,18
21,40
13,46
30,45
38,27
21,40
19,24
36,36
28,31
33,44
25,22
49,29
47,39
39,36
50,20
22,45
11,31
49,41
29,20
48,38
12,44
19,39
46,22
31,29
36,44
27,34
17,19
22,12
13,14
24,16
36,45
35,28
34,20
14,24
29,44
25,38
42,14
19,23
21,19
20,26
24,16
10,49
27,31
24,24
49,21
36,39
22,27
49,24
41,24
20,24
27,35
27,29
46,38
